sample_id,tool,file,line,col,rule,severity,message,layer,context,label,notes
51,validate-actions,B_iterative_cml-playground_cml-1063.yml,46,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   44:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n   45:       - name: Standard CML setup\n>  46:         if: ${{ steps.cml-setup.outcome != 'success' }}\n   47:         uses: iterative/setup-cml@v1\n   48:         with:,TP,outdated / unpinned action
52,validate-actions,B_iterative_cml-playground_cml-1063.yml,60,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   58:   file-pr:\n   59:     runs-on: ubuntu-latest\n>  60:     steps:\n   61:       - uses: actions/checkout@v3\n   62:       - name: Test a CML Branch,TP,outdated / unpinned action
53,validate-actions,B_iterative_cml-playground_cml-1063.yml,68,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   66:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n   67:       - name: Standard CML setup\n>  68:         if: ${{ steps.cml-setup.outcome != 'success' }}\n   69:         uses: iterative/setup-cml@v1\n   70:         with:,TP,outdated / unpinned action
54,actionlint,B_iterative_cml-playground_cml-1063.yml,17,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   15:     runs-on: ubuntu-latest\n   16:     steps:\n>  17:       - uses: actions/checkout@v3\n   18:       - name: Test a CML Branch\n   19:         id: cml-setup,TP,deprecated Node runner version
55,actionlint,B_iterative_cml-playground_cml-1063.yml,39,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   37:     runs-on: ubuntu-latest\n   38:     steps:\n>  39:       - uses: actions/checkout@v3\n   40:       - name: Test a CML Branch\n   41:         id: cml-setup,TP,deprecated Node runner version
56,actionlint,B_iterative_cml-playground_cml-1063.yml,61,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   59:     runs-on: ubuntu-latest\n   60:     steps:\n>  61:       - uses: actions/checkout@v3\n   62:       - name: Test a CML Branch\n   63:         id: cml-setup,TP,deprecated Node runner version
57,validate-actions,B_iterative_cml-playground_cml-1065.yml,19,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   17:     environment: test\n   18:     runs-on: ubuntu-latest\n>  19:     steps:\n   20:       - uses: actions/checkout@v3\n   21:       - name: Test a CML Branch,TP,outdated / unpinned action
58,validate-actions,B_iterative_cml-playground_cml-1065.yml,27,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   25:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n   26:       - name: Standard CML setup\n>  27:         if: ${{ steps.cml-setup.outcome != 'success' }}\n   28:         uses: iterative/setup-cml@v1\n   29:         with:,TP,outdated / unpinned action
59,validate-actions,B_iterative_cml-playground_cml-1065.yml,30,8,action-version,warning,Action aws-actions/configure-aws-credentials uses v1 (resolves to v1.7.0) which is major version outdated. Current latest is v6.1.0.,registry,   28:         uses: iterative/setup-cml@v1\n   29:         with:\n>  30:           version: latest\n   31:       - uses: aws-actions/configure-aws-credentials@v1\n   32:         with:,TP,outdated / unpinned action
60,validate-actions,B_iterative_cml-playground_cml-1065.yml,44,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,"   42:     runs-on: [self-hosted, gpu-a10-test]\n   43:     environment: test\n>  44:     steps:\n   45:       - uses: actions/checkout@v3\n   46:       - name: CML Version Test",TP,outdated / unpinned action
